,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,148485,93,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
1,6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,Native,OneRepublic,2014-01-01,257840,78,0.664,0.0654,0.705,0.0,0.115,-4.972,0.0382,122.017,4
2,5r43qanLhUCdBj8HN3fa6B,Sunshine,Sunshine,OneRepublic,2021-11-10,163854,82,0.697,0.137,0.875,0.0,0.28,-4.621,0.034,140.069,4
3,1NhPKVLsHhFUHIOZ32QnS2,Secrets,Waking Up,OneRepublic,2009-01-01,224693,77,0.516,0.0717,0.764,0.0,0.115,-6.223,0.0366,148.021,4
4,6OtCIsQZ64Vs1EbzztvAv4,Good Life,Waking Up,OneRepublic,2009-01-01,253306,75,0.634,0.0771,0.69,0.0,0.132,-7.804,0.052,94.988,4
5,6KL88T4Ma4ABXqzgUoEwkd,Run,Human (Deluxe),OneRepublic,2021-08-27,168259,77,0.682,0.321,0.72,0.0,0.205,-8.176,0.0382,116.988,4
6,2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,Native,OneRepublic,2013-01-01,257265,87,0.664,0.0654,0.705,0.0,0.118,-4.972,0.0382,122.016,4
7,2UbVnbE5FH6008mAm6Mmgw,Run,Run,OneRepublic,2021-05-05,169010,75,0.682,0.326,0.72,0.0,0.148,-8.173,0.0381,117.003,4
8,1NrJYpdAi7uosDRPmSYrsG,Apologize,Dreaming Out Loud,OneRepublic,2007-01-01,208106,71,0.593,0.363,0.74,2.22e-05,0.102,-6.12,0.0339,118.008,4
9,7D49Iig0avHre9RFSUMkd2,I Lived,Native,OneRepublic,2014-01-01,234546,69,0.599,0.0746,0.854,0.0,0.278,-5.429,0.0436,119.986,4
10,6aDsgHPZsMztSbZernzlF8,Someday,Human (Deluxe),OneRepublic,2021-08-27,187888,75,0.576,0.0311,0.679,0.0,0.323,-7.237,0.034,121.005,4
11,5BJSZocnCeSNeYMj3iVqM7,Love Runs Out,Native,OneRepublic,2014-01-01,224226,66,0.719,0.167,0.935,0.0,0.0973,-3.752,0.0589,120.022,4
12,07fbDnkKdZGk1gLvknxrns,RUNAWAY,RUNAWAY,OneRepublic,2023-05-26,143264,70,0.624,0.0336,0.684,0.0,0.0771,-5.507,0.0513,163.033,4
13,0sBJA2OCEECMs0HsdIQhvR,West Coast,West Coast,OneRepublic,2022-02-25,192947,72,0.685,0.317,0.699,0.0,0.0895,-7.803,0.0349,134.057,4
14,1sgDyuLooyvEML4oHspNza,Lose Somebody,Golden Hour,Kygo,2020-05-29,199549,72,0.58,0.344,0.586,0.0,0.0755,-6.883,0.0357,147.988,4
15,37LNNQNbL1YLyutBG6aWRx,Rescue Me,Human (Deluxe),OneRepublic,2021-08-27,159650,71,0.761,0.157,0.606,0.0,0.574,-7.742,0.0424,121.038,4
16,6DfTcqehfqDtnu6jZpxMEQ,Secrets,Clásicas para aprender inglés,Various Artists,2023-05-19,224680,5,0.517,0.0734,0.762,0.0,0.116,-6.224,0.0361,148.019,4
17,73PAbYaVbnFG0tQ4aBfxeN,I Ain't Worried,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga,2022-05-27,148485,68,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
18,0HgrxRTIpmS8pIF8Aa0ioX,Apologize,Låtar att gråta till,Various Artists,2023-05-23,208106,4,0.59,0.332,0.744,1.55e-05,0.099,-6.161,0.0336,118.018,4
19,1WYhtwbo2bSX664Yk5UdN8,Counting Stars,Pop Songs,Various Artists,2019-09-20,256760,41,0.659,0.072,0.741,0.0,0.166,-4.354,0.0388,122.013,4
20,7kftK4n15rl1wbpfjSq2Tk,Wherever I Go,Oh My My,OneRepublic,2016-12-02,169773,64,0.54,0.1,0.675,0.0,0.237,-6.449,0.0429,99.97,4
21,5iT9JZDxdRhuFxSeN58kto,I Ain't Worried,Feel Good Summer 2023 by Digster Pop,Various Artists,2023-05-30,148485,0,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
22,3T4UodGkfZObJ43RtA5KFU,Connection,Connection,OneRepublic,2018-06-26,148459,63,0.611,0.000837,0.602,0.0,0.112,-4.89,0.0437,168.154,4
23,4sZSTjvSZWa0tvE6eCzPi8,I Ain't Worried,Summer Vibes 2023,Various Artists,2023-05-26,148485,0,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
24,4KANJH1baadr3U7XsVbM17,Something I Need,Native,OneRepublic,2014-01-01,241266,57,0.683,0.164,0.601,0.0,0.119,-6.927,0.0308,98.97,4
25,4KzQtIQn3wHxaZ3i6nDwop,Sunshine,Feel Good Summer 2023 by Digster Pop,Various Artists,2023-05-30,164880,0,0.688,0.134,0.892,0.0,0.28,-4.242,0.0341,140.045,4
26,5XRHGXut00SrJUFmcn2lQF,All The Right Moves,Waking Up,OneRepublic,2009-01-01,238000,68,0.529,0.258,0.948,9.35e-06,0.283,-3.527,0.0474,146.024,4
27,3fT6xqEkC1jm4mHjOyXbKw,Wanted,Human (Deluxe),OneRepublic,2021-08-27,136247,56,0.665,0.165,0.539,0.0,0.0912,-6.613,0.0699,145.828,4
28,0yc37FvbXRwwFaQxzpxbsd,Somebody To Love,Somebody To Love,OneRepublic,2019-09-04,181408,55,0.401,0.0158,0.503,0.0,0.134,-8.084,0.0437,118.491,4
29,6ucR4KfvsBFWCMVFDvyKKl,Apologize,Shock Value,Timbaland,2007-04-02,184400,74,0.653,0.0292,0.604,0.0,0.097,-6.017,0.0278,118.016,4
30,2SLxgJ2YFohfd8KwuJZTUE,Better Days,Human (Deluxe),OneRepublic,2021-08-27,144545,60,0.618,0.255,0.725,0.0,0.424,-4.952,0.0479,88.982,4
31,3IQF4xCQUPicbA4hWfTxPo,I Lived,Native,OneRepublic,2013-01-01,234546,73,0.593,0.0683,0.851,0.0,0.271,-5.456,0.0446,119.987,4
32,1YfPM45u7jzkTzepCAuybv,I Ain’t Worried - Acoustic,I Ain’t Worried (Versions),OneRepublic,2023-05-12,149233,49,0.712,0.679,0.484,6.32e-06,0.0829,-6.977,0.0334,139.934,4
33,4XOVGSQjmxtSbt3pKk0Ouh,Preacher,Native,OneRepublic,2014-01-01,247986,42,0.479,0.106,0.708,0.0,0.736,-4.393,0.0275,140.032,4
34,6q3zC9dDD4lUNk8nfUztXy,Apologize,Shock Value,Timbaland,2007-01-01,184400,74,0.657,0.0361,0.604,0.0,0.102,-6.006,0.0296,118.042,4
35,2z8S9ARUXOXWT9h0PdF4yP,Somebody To Love,Human (Deluxe),OneRepublic,2021-08-27,181408,51,0.401,0.0158,0.503,0.0,0.134,-8.084,0.0439,118.486,4
36,1hZk9dktp4yRFTm0TrycuH,If I Lose Myself - Alesso vs OneRepublic,Native,OneRepublic,2014-01-01,214813,63,0.523,0.219,0.782,1.03e-05,0.133,-4.846,0.041,125.998,4
37,0Qn7h2I9Fajtj7lgvkho8y,One Republic Mash-Up,Covers Part III,Anthem Lights,2014-06-10,157974,41,0.359,0.656,0.444,0.0,0.163,-5.963,0.0318,124.682,4
38,4W1JavoraGzh83nluQHY6C,You Were Loved (with OneRepublic),You Were Loved (with OneRepublic),Gryffin,2022-04-01,221885,62,0.636,0.0947,0.69,0.0,0.169,-5.011,0.0484,123.994,4
39,0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,Rescue Me,OneRepublic,2019-05-17,158899,71,0.759,0.156,0.605,0.0,0.694,-7.737,0.0433,121.049,4
40,0VmdveDdlr2FMGwBljCfxA,Ordinary Human,Ordinary Human,OneRepublic,2014-01-01,290493,44,0.282,0.196,0.719,0.000358,0.107,-7.633,0.0335,99.992,4
41,4sJqSKPc5fZ5OZ8JiVI44N,Stranger Things (feat. OneRepublic),Kids in Love,Kygo,2017-11-03,221440,62,0.604,0.234,0.661,0.0,0.0951,-5.914,0.0375,107.016,4
42,4VhR9r9zgzikeruUScgj8A,Savior,Human (Deluxe),OneRepublic,2021-08-27,181358,46,0.59,0.016,0.583,8.49e-05,0.0703,-6.985,0.0309,92.995,4
43,53Ji6ZvVjsBl4pIuiETfhN,Bones (feat. OneRepublic),Church,Galantis,2020-02-07,205792,60,0.659,0.00463,0.804,0.0,0.178,-5.735,0.0381,120.041,4
44,75hLNJfiXV5k2YGrbGEW51,Feel Again,Native,OneRepublic,2014-01-01,185080,58,0.467,0.0198,0.815,1.23e-06,0.118,-7.929,0.0524,140.047,4
45,5xtliWYBVT4cKo9BtBn43B,Choke,Oh My My,OneRepublic,2016-12-02,226760,50,0.582,0.302,0.607,0.0,0.116,-6.397,0.0346,92.021,4
46,76c4KOymiPUkWEeIIc0DQr,Stranger Things (feat. OneRepublic) - Alan Walker Remix,Kids in Love (Remixes),Kygo,2018-02-14,178413,64,0.659,0.146,0.742,0.0,0.217,-4.624,0.0283,106.947,4
47,7hIRQZhDjab4YgqkkkehV9,If I Lose Myself,Native,OneRepublic,2014-01-01,241640,59,0.482,0.0969,0.713,0.0,0.111,-6.017,0.0487,140.069,4
48,1kmex5eDBvfniYJpmmIizl,Secrets,Waking Up (Deluxe),OneRepublic,2009-01-01,224680,40,0.516,0.0717,0.764,0.0,0.115,-6.223,0.0366,148.021,4
49,5suCRIyDMxsIHMIDfPLzAl,The Way I Are - OneRepublic Remix Version,Apologize,Timbaland,2007-01-01,212280,45,0.685,0.133,0.811,8.47e-05,0.144,-4.236,0.0455,114.802,4
50,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,93,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,169.994,4
51,273dCMFseLcVsoSWx59IoE,Bad Blood,1989,Taylor Swift,2014-10-27,211933,75,0.65,0.0871,0.802,6.54e-06,0.148,-6.114,0.181,170.146,4
52,1p80LdxRV74UKvL8gnD7ky,Blank Space,1989,Taylor Swift,2014-10-27,231826,82,0.753,0.085,0.678,1.64e-06,0.13,-5.421,0.0644,96.006,4
53,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,Taylor Swift,2022-10-21,200690,94,0.637,0.13,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,4
54,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Fearless,Taylor Swift,2008-11-11,231133,73,0.687,0.162,0.783,1.35e-05,0.114,-4.44,0.0386,129.964,4
55,4d1CG5ei1E2vGbvmgf5KKv,This Love (Taylor’s Version),This Love (Taylor’s Version),Taylor Swift,2022-05-06,250100,78,0.47,0.302,0.494,0.0,0.0672,-8.672,0.0349,144.039,4
56,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,90,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4
57,5xTtaWoae3wi06K5WfVUUH,Shake It Off,1989,Taylor Swift,2014-10-27,219200,78,0.647,0.0561,0.785,0.0,0.148,-5.414,0.165,160.015,4
58,2sC2P3BN0IXujNaaSyDmtP,Blank Space,1989 (Deluxe Edition),Taylor Swift,2014-10-27,231826,67,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,95.997,4
59,7KokYm8cMIXCsGVmUvKtqf,Karma,Midnights,Taylor Swift,2022-10-21,204852,88,0.642,0.0734,0.62,0.0,0.483,-7.091,0.0666,90.02,4
60,1kTPQnabROVkW9bUXdCGrB,This Love,1989 (Deluxe Edition),Taylor Swift,2014-10-27,250093,61,0.481,0.678,0.435,0.0,0.0928,-8.795,0.0321,143.95,4
61,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Midnights,Taylor Swift,2022-10-21,202395,88,0.733,0.258,0.436,0.000573,0.157,-10.489,0.08,96.985,4
62,1vrd6UOGamcKNGnSHJQlSt,Love Story,Fearless,Taylor Swift,2008-11-11,235266,72,0.618,0.17,0.741,0.0,0.0822,-3.95,0.031,118.984,4
63,3oKMl2tJv4fdidkXUYMI5x,This Love,1989,Taylor Swift,2014-10-27,250093,55,0.475,0.635,0.459,0.0,0.101,-8.768,0.0333,143.988,4
64,4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,All Of The Girls You Loved Before,Taylor Swift,2019-08-23,221407,89,0.718,0.707,0.467,6.92e-05,0.126,-9.66,0.0398,95.96,3
65,1kHEuJRasudLhjvnbfc4yS,Blank Space,1989 (Big Machine Radio Release Special),Taylor Swift,2014-10-27,231826,59,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,95.997,4
66,3xYJScVfxByb61dYHTwiby,Hits Different,Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,234466,81,0.672,0.148,0.782,4.73e-06,0.296,-6.499,0.0421,106.026,4
67,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,83,0.766,0.204,0.709,1.41e-05,0.126,-6.471,0.123,128.07,4
68,1zLldxuxV4B5I5lIiBnQPF,Taylor Swift,Taylor Swift,Miranda Writes,2023-01-27,131160,36,0.844,0.282,0.421,6.78e-05,0.459,-9.474,0.243,96.984,4
69,4R2kfaDFhslZEMJqAFNpdd,cardigan,folklore,Taylor Swift,2020-07-24,239560,90,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
70,72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,Red,Taylor Swift,2012-10-22,217973,65,0.622,0.00454,0.469,2.25e-06,0.0398,-6.798,0.0363,77.019,4
71,551TAZe8RjPgXKRMdu1ll4,Taylor Swift,Unsigned,Cal Scruby,2019-05-21,146590,33,0.839,0.27,0.66,0.0,0.22,-6.419,0.0703,87.987,4
72,4i6cwNY6oIUU2XZxPIw82Y,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,201493,81,0.615,0.0623,0.616,0.0,0.579,-6.523,0.0622,89.977,4
73,6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,82,0.771,0.00929,0.671,0.0,0.0637,-5.617,0.0553,85.026,4
74,64KRxmbqypPBlya4nxFmDn,This Love,reputation Stadium Tour Surprise Song Playlist,Taylor Swift,2017-11-09,250093,36,0.481,0.678,0.435,0.0,0.0928,-8.795,0.0321,143.95,4
75,4zmKGsrXjLmljb5fTaBTot,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,229942,81,0.664,0.806,0.401,3.5e-06,0.108,-10.934,0.0344,109.846,4
76,59HjlYCeBsxdI0fcm3zglw,Wildest Dreams,1989,Taylor Swift,2014-10-27,220440,76,0.554,0.0702,0.666,0.00593,0.106,-7.414,0.0747,140.056,4
77,3LB2qckfpZq7aybaoZKRa2,Blank Space,Gameday Country,Various Artists,2019-10-11,231826,35,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,95.997,4
78,2BPLFluGLtHPN9EF6oK5w8,Hits Different,Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,234466,70,0.679,0.117,0.774,2.34e-06,0.249,-6.231,0.0448,106.027,4
79,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Red,Taylor Swift,2012-10-22,191880,64,0.628,0.00957,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,4
80,5yCRSEPJXzjzl3Gov0YduA,This Love,1989 (Big Machine Radio Release Special),Taylor Swift,2014-10-27,250093,32,0.481,0.678,0.435,0.0,0.0928,-8.795,0.0321,143.95,4
81,71koLb7kowtfrjvJF00tTb,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,201493,67,0.619,0.0571,0.623,0.0,0.499,-6.472,0.0615,90.048,4
82,1uGZAJhhVk2JLUsrdvglqJ,The Poop Song,The Poop Song,Teddy Casey,2020-04-29,192000,41,0.86,0.756,0.585,0.0,0.102,-8.965,0.0401,120.082,4
83,4fiLVxZ0UAsWAzUwGqkZA9,Blank Space - Commentary,1989 (Big Machine Radio Release Special),Taylor Swift,2014-10-27,90066,25,0.684,0.827,0.272,0.0,0.209,-15.652,0.887,100.356,3
84,24emu3sabKISjRkrys28jq,Lavender Haze,Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,202395,68,0.735,0.236,0.454,0.00113,0.133,-10.516,0.0876,97.043,4
85,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,Taylor Swift,2019-08-23,221306,88,0.359,0.492,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,4
86,4Q4OzkSGkTvfjxM3HG2kzh,Taylor Splift,Sparkling Memories,Mamoosh,2023-02-03,120872,27,0.698,0.695,0.505,0.759,0.116,-12.133,0.0627,79.962,4
87,2EcjZ55drzQUQaDnZPSHvX,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,229942,68,0.665,0.793,0.385,4.18e-05,0.103,-11.04,0.0329,109.875,4
88,2c3GsiKGjR3Z3t0sXPAQw6,Taylor Swift,Taylor Swift,Sandra Hesch,2022-10-28,145714,50,0.715,0.353,0.583,0.0145,0.645,-9.105,0.259,105.005,4
89,6qxvy9Pe4RJIq5JBVbbwbS,Maroon,Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,218270,66,0.65,0.0609,0.397,1.4e-06,0.089,-8.237,0.0365,108.055,4
90,2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,80,0.61,0.033,0.83,0.0,0.118,-4.105,0.0571,182.162,4
91,0jjIPthFhpbBNr4my8cePO,Blank Space,"Big Machine #1's, Volume 4",Various Artists,2019-09-06,231826,21,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,95.997,4
92,7GA86Uo2jYbj8vIXe2nyWd,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,256124,67,0.653,0.705,0.331,0.0013,0.116,-13.534,0.039,110.014,4
93,0kJpAgEVLFnnL5OCPZe4XB,Hayley - Taylor Skye Remix,Lost My Key in the <3 Club <3,Jockstrap,2019-04-05,195179,15,0.709,0.0867,0.641,0.2,0.0772,-5.396,0.0732,95.017,4
94,5qIHFdkW6phMsTZlN2g8Lc,Anti-Hero,Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,200690,66,0.637,0.115,0.649,1.22e-06,0.147,-6.59,0.0584,96.935,4
95,2JYIyHNYTnkkM6oCqCtTvf,This Love,This Love,Nameless,2021-01-26,147613,21,0.7,0.215,0.67,0.0,0.123,-6.045,0.12,175.896,4
96,6PQOU00xWNrGwCZzboriXy,"You're On Your Own, Kid",Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,194206,65,0.694,0.423,0.386,1.05e-05,0.126,-10.312,0.0597,120.044,4
97,76BlZP3qcfsrYAyHohpwvp,Taylor Swift vs. Kanye West,Taylor Swift vs. Kanye West,Freshy Kanal,2020-12-14,176217,11,0.661,0.0267,0.827,0.0,0.0264,-5.735,0.297,156.136,4
98,4eKMqf9ZMSclDX7V9Ptg7x,Midnight Rain,Midnights (The Til Dawn Edition),Taylor Swift,2023-05-26,174782,65,0.654,0.705,0.372,6.78e-05,0.114,-11.704,0.0667,140.15,4
99,15DeqWWQB4dcEWzJg15VrN,Our Song,Taylor Swift,Taylor Swift,2006-10-24,201106,77,0.668,0.111,0.672,0.0,0.329,-4.931,0.0303,89.011,4
100,6pD0ufEQq0xdHSsRbg9LBK,un x100to,un x100to,Grupo Frontera,2023-04-17,194563,100,0.569,0.228,0.724,0.0,0.27,-4.076,0.0474,83.118,4
101,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,243716,90,0.65,0.0993,0.715,0.000291,0.126,-5.198,0.253,106.672,4
102,6Xom58OOXk2SoU711L2IXO,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,245939,88,0.804,0.294,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,4
103,7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,2023-05-18,231704,94,0.652,0.143,0.8,0.629,0.112,-4.019,0.0614,143.978,4
104,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,178567,92,0.911,0.0901,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,4
105,5Eax0qFko2dh7Rl2lYs3bx,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,213061,90,0.801,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4
106,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,91,0.647,0.08,0.686,1.34e-06,0.528,-5.745,0.0413,79.928,4
107,2JPLbjOn0wPCngEot2STUS,Yonaguni,Yonaguni,Bad Bunny,2021-06-04,206710,85,0.644,0.276,0.648,0.0,0.135,-4.601,0.118,179.951,4
108,31i56LZnwE6uSu3exoHjtB,Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,173119,87,0.876,0.0706,0.498,0.0,0.143,-7.511,0.0478,122.016,4
109,0PB0O24JqAuNdOAFVJljMS,Coco Chanel,3MEN2 KBRN,Eladio Carrion,2023-03-17,208125,92,0.683,0.0427,0.764,0.0,0.0963,-5.995,0.0441,149.949,4
110,1dm6z1fWB0cErMszU25dy2,Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,230400,82,0.564,0.356,0.903,0.0,0.175,-3.221,0.307,78.293,4
111,1Bqg4yFeVDJxchh6MjkGKy,Chambea,Chambea,Bad Bunny,2017-12-01,192001,73,0.856,0.228,0.866,0.00154,0.164,-3.494,0.159,116.005,4
112,18HOjcvTVV7W8YzBuOsAPS,Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,2022-05-06,148143,80,0.503,0.693,0.496,0.0,0.123,-9.123,0.0556,187.844,4
113,54ELExv56KCAB4UP9cOCzC,Gato de Noche,Gato de Noche,Ñengo Flow,2022-12-22,227013,88,0.892,0.169,0.662,1.24e-06,0.363,-3.894,0.162,93.976,4
