,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
500,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,"good kid, m.A.A.d city",Kendrick Lamar,2012,386906,84,0.716,0.0703,0.531,0.0,0.224,-7.355,0.122,71.994,4
501,4Pwjz3DfvfQWV0rO2V8jyh,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",Kendrick Lamar,2012,310720,74,0.587,0.0152,0.698,0.0,0.442,-8.948,0.0943,133.954,4
502,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,86,0.908,0.000282,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,4
503,6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,DAMN.,Kendrick Lamar,2017-04-14,275253,86,0.665,0.0786,0.535,1.68e-05,0.154,-7.056,0.0572,138.842,4
504,5Gt9bxniM1SxN61yRzRhXL,United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,255377,78,0.529,0.244,0.845,0.0,0.143,-8.142,0.404,85.63,3
505,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,213400,85,0.8,0.264,0.585,0.0,0.153,-7.343,0.0924,126.058,4
506,5xoYormSTltk6F9SlQV6mm,Mirror,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,256006,69,0.652,0.225,0.67,1.4e-05,0.0804,-8.766,0.0639,91.933,4
507,3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),The Melodic Blue,Baby Keem,2021-09-10,252262,84,0.711,0.00588,0.611,0.0,0.23,-5.453,0.33,134.093,4
508,6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),Swimming Pools (Drank),Kendrick Lamar,2012-01-01,247800,80,0.577,0.00627,0.447,0.00022,0.0899,-5.892,0.277,74.236,4
509,3drdWsJKiVCSQ2gKhd9BDT,Savior,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,224466,72,0.605,0.495,0.692,0.0,0.303,-7.45,0.446,124.84,5
510,3iVcZ5G6tvkXZkZKlMpIUs,Alright,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,219333,83,0.796,0.0742,0.766,0.0,0.0827,-5.974,0.238,110.034,4
511,6HZILIRieu8S0iqY8kIKhj,DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,82,0.638,0.00454,0.523,0.0,0.0842,-6.664,0.357,139.913,4
512,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,232186,85,0.698,0.0605,0.633,0.000194,0.0926,-4.946,0.0597,96.924,4
513,2P3SLxeQHPqh8qKB6gtJY2,Poetic Justice,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012,300160,74,0.779,0.157,0.572,0.0,0.246,-9.985,0.378,135.956,4
514,6l8mgVN9Xf1hiDIFGA6CTE,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,2023-05-19,260962,82,0.784,0.0112,0.7,1.76e-05,0.163,-5.289,0.0396,126.015,4
515,2Fw5S2gaOSZzdN5dFoC2dj,A.D.H.D,Section.80,Kendrick Lamar,2011-07-02,215509,75,0.609,0.33,0.799,0.0,0.108,-6.883,0.24,157.74,4
516,0fX4oNGBWO3dSGUZcVdVV2,N95,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,195950,82,0.79,0.377,0.67,2.32e-06,0.119,-5.527,0.105,139.956,4
